IP address       HW type     Flags       HW address            Mask     Device
192.168.100.1    0x1         0x2         00:08:54:32:66:89     *        eth2
192.168.100.21   0x1         0x2         00:11:2F:19:9F:6D     *        eth2
192.168.100.13   0x1         0x2         00:11:2F:85:27:F1     *        eth2
192.168.100.23   0x1         0x2         00:15:C5:32:6D:63     *        eth2
192.168.100.3    0x1         0x2         00:11:11:64:3E:61     *        eth2
192.168.100.25   0x1         0x2         00:15:C5:32:7D:C5     *        eth2
192.168.100.24   0x1         0x2         00:15:C5:32:64:D1     *        eth2
192.168.100.22   0x1         0x2         00:40:C7:A7:20:6E     *        eth2
192.168.100.42   0x1         0x2         00:16:76:6F:8A:DE     *        eth2
192.168.100.245  0x1         0x2         00:0C:29:B7:E4:C1     *        eth2
192.168.100.12   0x1         0x2         00:11:2F:66:CB:C2     *        eth2
192.168.100.2    0x1         0x2         00:13:D4:98:6B:E7     *        eth2
